MJD,CTR,STAT_ERR,CTR_NORM,Timestamp
60279.14240145634,1.7142857142857142,0.0,0.003536067892503536,2023-12-01 03:25:03.485827684
60279.14241303041,1.8571428571428572,0.0,0.004243281471004243,2023-12-01 03:25:04.485827208
60279.142424604484,2.0,1.4142135623730951,0.0049504950495049506,2023-12-01 03:25:05.485827446
60279.14243617856,1.9375,0.0,0.004641089108910891,2023-12-01 03:25:06.485827684
60279.14244775263,1.875,0.0,0.004331683168316831,2023-12-01 03:25:07.485827208
60279.1424593267,1.8125,0.0,0.0040222772277227715,2023-12-01 03:25:08.485826969
60279.142470900784,1.75,0.0,0.0037128712871287136,2023-12-01 03:25:09.485827684
60279.142482474854,1.6875,0.0,0.003403465346534654,2023-12-01 03:25:10.485827446
60279.14249404892,1.625,0.0,0.003094059405940594,2023-12-01 03:25:11.485826969
60279.14250562301,1.5625,0.0,0.0027846534653465345,2023-12-01 03:25:12.485827923
60279.14251719708,1.5,0.0,0.002475247524752475,2023-12-01 03:25:13.485827446
60279.142528771146,1.4375,0.0,0.002165841584158416,2023-12-01 03:25:14.485826969
60279.14254034522,1.375,0.0,0.0018564356435643563,2023-12-01 03:25:15.485827208
60279.1425519193,1.3125,0.0,0.0015470297029702967,2023-12-01 03:25:16.485827446
60279.14256349337,1.25,0.0,0.0012376237623762379,2023-12-01 03:25:17.485827208
60279.142575067446,1.1875,0.0,0.0009282178217821782,2023-12-01 03:25:18.485827446
60279.14258664152,1.125,0.0,0.0006188118811881185,2023-12-01 03:25:19.485827684
60279.14259821559,1.0625,0.0,0.0003094059405940597,2023-12-01 03:25:20.485827208
60279.14260978967,1.0,1.0,0.0,2023-12-01 03:25:21.485827446
60279.142621363746,1.1176470588235294,0.0,0.0005824111822946999,2023-12-01 03:25:22.485827684
60279.142632937816,1.2352941176470589,0.0,0.0011648223645894006,2023-12-01 03:25:23.485827208
60279.14264451189,1.3529411764705883,0.0,0.0017472335468841005,2023-12-01 03:25:24.485827446
60279.14265608597,1.4705882352941178,0.0,0.002329644729178801,2023-12-01 03:25:25.485827684
60279.14266766004,1.5882352941176472,0.0,0.0029120559114735,2023-12-01 03:25:26.485827446
60279.14267923411,1.7058823529411764,0.0,0.0034944670937682,2023-12-01 03:25:27.485826969
60279.14269080819,1.8235294117647058,0.0,0.0040768782760629,2023-12-01 03:25:28.485827684
60279.14270238226,1.9411764705882353,0.0,0.0046592894583576,2023-12-01 03:25:29.485827446
60279.14271395633,2.0588235294117645,0.0,0.0052417006406523,2023-12-01 03:25:30.485826969
60279.142725530415,2.1764705882352944,0.0,0.005824111822947001,2023-12-01 03:25:31.485827923
60279.142737104485,2.2941176470588234,0.0,0.006406523005241699,2023-12-01 03:25:32.485827446
60279.142748678554,2.411764705882353,0.0,0.006988934187536401,2023-12-01 03:25:33.485826969
60279.14276025263,2.5294117647058822,0.0,0.007571345369831101,2023-12-01 03:25:34.485827208
60279.14277182671,2.6470588235294117,0.0,0.008153756552125802,2023-12-01 03:25:35.485827446
60279.14278340078,2.764705882352941,0.0,0.0087361677344205,2023-12-01 03:25:36.485827208
60279.142794974854,2.8823529411764706,0.0,0.009318578916715201,2023-12-01 03:25:37.485827446
60279.14280654893,3.0,1.7320508075688772,0.0099009900990099,2023-12-01 03:25:38.485827684
60279.142818123,3.142857142857143,0.0,0.010608203677510607,2023-12-01 03:25:39.485827208
60279.14282969708,3.2857142857142856,0.0,0.011315417256011314,2023-12-01 03:25:40.485827446
60279.142841271154,3.4285714285714284,0.0,0.012022630834512021,2023-12-01 03:25:41.485827684
60279.14285284522,3.571428571428571,0.0,0.012729844413012729,2023-12-01 03:25:42.485827208
60279.14286441929,3.7142857142857144,0.0,0.013437057991513436,2023-12-01 03:25:43.485826969
60279.14287599338,3.857142857142857,0.0,0.014144271570014143,2023-12-01 03:25:44.485827684
60279.14288756745,4.0,2.0,0.01485148514851485,2023-12-01 03:25:45.485827446
60279.142899141516,3.75,0.0,0.013613861386138612,2023-12-01 03:25:46.485826969
60279.1429107156,3.5,0.0,0.012376237623762377,2023-12-01 03:25:47.485827923
60279.14292228967,3.25,0.0,0.011138613861386138,2023-12-01 03:25:48.485827446
60279.14293386374,3.0,0.0,0.0099009900990099,2023-12-01 03:25:49.485826969
60279.142945437816,2.75,0.0,0.008663366336633664,2023-12-01 03:25:50.485827208
60279.14295701189,2.5,0.0,0.007425742574257426,2023-12-01 03:25:51.485827446
60279.14296858596,2.25,0.0,0.0061881188118811875,2023-12-01 03:25:52.485827208
60279.14298016004,2.0,1.4142135623730951,0.0049504950495049506,2023-12-01 03:25:53.485827446
60279.142991734116,2.0,0.0,0.0049504950495049506,2023-12-01 03:25:54.485827684
60279.143003308185,2.0,0.0,0.0049504950495049506,2023-12-01 03:25:55.485827208
60279.14301488226,2.0,0.0,0.0049504950495049506,2023-12-01 03:25:56.485827446
60279.14302645634,2.0,0.0,0.0049504950495049506,2023-12-01 03:25:57.485827684
60279.14303803041,2.0,0.0,0.0049504950495049506,2023-12-01 03:25:58.485827208
60279.143049604485,2.0,0.0,0.0049504950495049506,2023-12-01 03:25:59.485827446
60279.14306117856,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:00.485827684
60279.14307275263,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:01.485827446
60279.1430843267,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:02.485826969
60279.143095900785,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:03.485827923
60279.143107474854,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:04.485827446
60279.143119048924,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:05.485826969
60279.14313062301,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:06.485827923
60279.14314219708,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:07.485827446
60279.14315377115,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:08.485827208
60279.143165345224,2.0,1.4142135623730951,0.0049504950495049506,2023-12-01 03:26:09.485827208
60279.1431769193,1.9375,0.0,0.004641089108910891,2023-12-01 03:26:10.485827446
60279.14318849337,1.875,0.0,0.004331683168316831,2023-12-01 03:26:11.485827208
60279.14320006745,1.8125,0.0,0.0040222772277227715,2023-12-01 03:26:12.485827446
60279.14321164152,1.75,0.0,0.0037128712871287136,2023-12-01 03:26:13.485827684
60279.14322321559,1.6875,0.0,0.003403465346534654,2023-12-01 03:26:14.485827208
60279.14323478967,1.625,0.0,0.003094059405940594,2023-12-01 03:26:15.485827446
60279.14324636375,1.5625,0.0,0.0027846534653465345,2023-12-01 03:26:16.485827684
60279.143257937816,1.5,0.0,0.002475247524752475,2023-12-01 03:26:17.485827208
60279.143269511886,1.4375,0.0,0.002165841584158416,2023-12-01 03:26:18.485826969
60279.14328108597,1.375,0.0,0.0018564356435643563,2023-12-01 03:26:19.485827684
60279.14329266004,1.3125,0.0,0.0015470297029702967,2023-12-01 03:26:20.485827446
60279.14330423411,1.25,0.0,0.0012376237623762379,2023-12-01 03:26:21.485826969
60279.14331580819,1.1875,0.0,0.0009282178217821782,2023-12-01 03:26:22.485827923
60279.14332738226,1.125,0.0,0.0006188118811881185,2023-12-01 03:26:23.485827446
60279.14333895633,1.0625,0.0,0.0003094059405940597,2023-12-01 03:26:24.485826969
60279.14335053041,1.0,1.0,0.0,2023-12-01 03:26:25.485827208
60279.143362104485,1.25,0.0,0.0012376237623762379,2023-12-01 03:26:26.485827446
60279.143373678555,1.5,0.0,0.002475247524752475,2023-12-01 03:26:27.485827208
60279.14338525263,1.75,0.0,0.0037128712871287136,2023-12-01 03:26:28.485827446
60279.14339682671,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:29.485827684
60279.14340840078,2.25,0.0,0.0061881188118811875,2023-12-01 03:26:30.485827208
60279.143419974855,2.5,0.0,0.007425742574257426,2023-12-01 03:26:31.485827446
60279.14343154893,2.75,0.0,0.008663366336633664,2023-12-01 03:26:32.485827684
60279.143443123,3.0,1.7320508075688772,0.0099009900990099,2023-12-01 03:26:33.485827208
60279.14345469707,2.9375,0.0,0.009591584158415843,2023-12-01 03:26:34.485826969
60279.143466271154,2.875,0.0,0.009282178217821783,2023-12-01 03:26:35.485827684
60279.143477845224,2.8125,0.0,0.008972772277227724,2023-12-01 03:26:36.485827446
60279.14348941929,2.75,0.0,0.008663366336633664,2023-12-01 03:26:37.485826969
60279.14350099338,2.6875,0.0,0.008353960396039604,2023-12-01 03:26:38.485827923
60279.14351256745,2.625,0.0,0.008044554455445545,2023-12-01 03:26:39.485827446
60279.14352414152,2.5625,0.0,0.007735148514851486,2023-12-01 03:26:40.485826969
60279.1435357156,2.5,0.0,0.007425742574257426,2023-12-01 03:26:41.485827923
60279.14354728967,2.4375,0.0,0.007116336633663367,2023-12-01 03:26:42.485827446
60279.14355886374,2.375,0.0,0.006806930693069307,2023-12-01 03:26:43.485827208
60279.14357043782,2.3125,0.0,0.006497524752475247,2023-12-01 03:26:44.485827446
60279.14358201189,2.25,0.0,0.0061881188118811875,2023-12-01 03:26:45.485827684
60279.14359358596,2.1875,0.0,0.00587871287128713,2023-12-01 03:26:46.485827208
60279.14360516004,2.125,0.0,0.00556930693069307,2023-12-01 03:26:47.485827446
60279.143616734116,2.0625,0.0,0.00525990099009901,2023-12-01 03:26:48.485827684
60279.143628308186,2.0,0.0,0.0049504950495049506,2023-12-01 03:26:49.485827208
60279.14363988226,1.9375,0.0,0.004641089108910891,2023-12-01 03:26:50.485827446
60279.14365145634,1.875,0.0,0.004331683168316831,2023-12-01 03:26:51.485827684
60279.14366303041,1.8125,0.0,0.0040222772277227715,2023-12-01 03:26:52.485827208
60279.14367460448,1.75,0.0,0.0037128712871287136,2023-12-01 03:26:53.485826969
60279.14368617856,1.6875,0.0,0.003403465346534654,2023-12-01 03:26:54.485827684
60279.14369775263,1.625,0.0,0.003094059405940594,2023-12-01 03:26:55.485827446
60279.1437093267,1.5625,0.0,0.0027846534653465345,2023-12-01 03:26:56.485826969
60279.143720900785,1.5,0.0,0.002475247524752475,2023-12-01 03:26:57.485827923
60279.143732474855,1.4375,0.0,0.002165841584158416,2023-12-01 03:26:58.485827446
60279.143744048924,1.375,0.0,0.0018564356435643563,2023-12-01 03:26:59.485826969
60279.143755623,1.3125,0.0,0.0015470297029702967,2023-12-01 03:27:00.485827208
60279.14376719708,1.25,0.0,0.0012376237623762379,2023-12-01 03:27:01.485827446
60279.14377877115,1.1875,0.0,0.0009282178217821782,2023-12-01 03:27:02.485827208
60279.143790345224,1.125,0.0,0.0006188118811881185,2023-12-01 03:27:03.485827446
60279.1438019193,1.0625,0.0,0.0003094059405940597,2023-12-01 03:27:04.485827684
60279.14381349337,1.0,1.0,0.0,2023-12-01 03:27:05.485827208
60279.14382506745,1.125,0.0,0.0006188118811881185,2023-12-01 03:27:06.485827446
60279.143836641524,1.25,0.0,0.0012376237623762379,2023-12-01 03:27:07.485827684
60279.14384821559,1.375,0.0,0.0018564356435643563,2023-12-01 03:27:08.485827208
60279.14385978966,1.5,0.0,0.002475247524752475,2023-12-01 03:27:09.485826969
60279.14387136375,1.625,0.0,0.003094059405940594,2023-12-01 03:27:10.485827684
60279.14388293782,1.75,0.0,0.0037128712871287136,2023-12-01 03:27:11.485827446
60279.143894511886,1.875,0.0,0.004331683168316831,2023-12-01 03:27:12.485826969
60279.14390608597,2.0,1.4142135623730951,0.0049504950495049506,2023-12-01 03:27:13.485827923
60279.14391766004,2.125,0.0,0.00556930693069307,2023-12-01 03:27:14.485827446
60279.14392923411,2.25,0.0,0.0061881188118811875,2023-12-01 03:27:15.485826969
60279.14394080819,2.375,0.0,0.006806930693069307,2023-12-01 03:27:16.485827923
60279.14395238226,2.5,0.0,0.007425742574257426,2023-12-01 03:27:17.485827446
60279.14396395633,2.625,0.0,0.008044554455445545,2023-12-01 03:27:18.485827208
60279.14397553041,2.75,0.0,0.008663366336633664,2023-12-01 03:27:19.485827446
60279.143987104486,2.875,0.0,0.009282178217821783,2023-12-01 03:27:20.485827684
60279.143998678555,3.0,1.7320508075688772,0.0099009900990099,2023-12-01 03:27:21.485827208
60279.14401025263,3.0625,0.0,0.010210396039603959,2023-12-01 03:27:22.485827446
60279.14402182671,3.125,0.0,0.010519801980198019,2023-12-01 03:27:23.485827684
60279.14403340078,3.1875,0.0,0.010829207920792078,2023-12-01 03:27:24.485827208
60279.144044974855,3.25,0.0,0.011138613861386138,2023-12-01 03:27:25.485827446
60279.14405654893,3.3125,0.0,0.011448019801980198,2023-12-01 03:27:26.485827684
60279.144068123,3.375,0.0,0.011757425742574257,2023-12-01 03:27:27.485827446
60279.14407969707,3.4375,0.0,0.012066831683168317,2023-12-01 03:27:28.485826969
60279.144091271155,3.5,0.0,0.012376237623762377,2023-12-01 03:27:29.485827684
60279.144102845225,3.5625,0.0,0.012685643564356437,2023-12-01 03:27:30.485827446
60279.144114419294,3.625,0.0,0.012995049504950493,2023-12-01 03:27:31.485826969
60279.14412599338,3.6875,0.0,0.013304455445544552,2023-12-01 03:27:32.485827923
60279.14413756745,3.75,0.0,0.013613861386138612,2023-12-01 03:27:33.485827446
60279.14414914152,3.8125,0.0,0.013923267326732672,2023-12-01 03:27:34.485826969
60279.144160715594,3.875,0.0,0.014232673267326731,2023-12-01 03:27:35.485827208
60279.14417228967,3.9375,0.0,0.014542079207920791,2023-12-01 03:27:36.485827446
60279.14418386374,4.0,2.0,0.01485148514851485,2023-12-01 03:27:37.485827208
60279.14419543782,3.888888888888889,0.0,0.014301430143014302,2023-12-01 03:27:38.485827446
60279.144207011894,3.7777777777777777,0.0,0.01375137513751375,2023-12-01 03:27:39.485827684
60279.14421858596,3.6666666666666665,0.0,0.013201320132013201,2023-12-01 03:27:40.485827208
60279.14423016004,3.5555555555555554,0.0,0.01265126512651265,2023-12-01 03:27:41.485827446
60279.14424173412,3.4444444444444446,0.0,0.0121012101210121,2023-12-01 03:27:42.485827684
60279.144253308186,3.3333333333333335,0.0,0.011551155115511552,2023-12-01 03:27:43.485827208
60279.144264882256,3.2222222222222223,0.0,0.011001100110011,2023-12-01 03:27:44.485826969
60279.14427645634,3.111111111111111,0.0,0.010451045104510451,2023-12-01 03:27:45.485827684
60279.14428803041,3.0,1.7320508075688772,0.0099009900990099,2023-12-01 03:27:46.485827446
60279.14429960448,2.7142857142857144,0.0,0.008486562942008488,2023-12-01 03:27:47.485826969
60279.14431117856,2.428571428571429,0.0,0.007072135785007074,2023-12-01 03:27:48.485827923
60279.14432275263,2.142857142857143,0.0,0.005657708628005658,2023-12-01 03:27:49.485827446
60279.1443343267,1.8571428571428572,0.0,0.004243281471004243,2023-12-01 03:27:50.485826969
60279.14434590078,1.5714285714285716,0.0,0.0028288543140028303,2023-12-01 03:27:51.485827208
60279.144357474855,1.2857142857142858,0.0,0.0014144271570014147,2023-12-01 03:27:52.485827446
60279.144369048925,1.0,1.0,0.0,2023-12-01 03:27:53.485827208
60279.144380623,1.0,0.0,0.0,2023-12-01 03:27:54.485827446
60279.14439219708,1.0,0.0,0.0,2023-12-01 03:27:55.485827684
60279.14440377115,1.0,0.0,0.0,2023-12-01 03:27:56.485827208
60279.144415345225,1.0,0.0,0.0,2023-12-01 03:27:57.485827446
60279.1444269193,1.0,0.0,0.0,2023-12-01 03:27:58.485827684
60279.14443849337,1.0,0.0,0.0,2023-12-01 03:27:59.485827208
60279.14445006745,1.0,0.0,0.0,2023-12-01 03:28:00.485827446
60279.144461641525,1.0,1.0,0.0,2023-12-01 03:28:01.485827684
60279.144473215594,1.0,0.0,0.0,2023-12-01 03:28:02.485827446
60279.144484789664,1.0,0.0,0.0,2023-12-01 03:28:03.485826969
60279.14449636375,1.0,0.0,0.0,2023-12-01 03:28:04.485827923
60279.14450793782,1.0,0.0,0.0,2023-12-01 03:28:05.485827446
60279.14451951189,1.0,0.0,0.0,2023-12-01 03:28:06.485826969
60279.14453108597,1.0,0.0,0.0,2023-12-01 03:28:07.485827923
60279.14454266004,1.0,0.0,0.0,2023-12-01 03:28:08.485827446
60279.14455423411,1.0,1.0,0.0,2023-12-01 03:28:09.485826969
60279.14456580819,1.0,0.0,0.0,2023-12-01 03:28:10.485827208
60279.14457738226,1.0,0.0,0.0,2023-12-01 03:28:11.485827446
60279.14458895633,1.0,0.0,0.0,2023-12-01 03:28:12.485827208
60279.14460053041,1.0,0.0,0.0,2023-12-01 03:28:13.485827446
60279.14461210449,1.0,0.0,0.0,2023-12-01 03:28:14.485827684
60279.144623678556,1.0,0.0,0.0,2023-12-01 03:28:15.485827208
60279.14463525263,1.0,0.0,0.0,2023-12-01 03:28:16.485827446
60279.14464682671,1.0,0.0,0.0,2023-12-01 03:28:17.485827684
60279.14465840078,1.0,0.0,0.0,2023-12-01 03:28:18.485827208
60279.14466997485,1.0,0.0,0.0,2023-12-01 03:28:19.485826969
60279.14468154893,1.0,0.0,0.0,2023-12-01 03:28:20.485827684
60279.144693123,1.0,0.0,0.0,2023-12-01 03:28:21.485827446
60279.14470469707,1.0,0.0,0.0,2023-12-01 03:28:22.485826969
60279.144716271156,1.0,0.0,0.0,2023-12-01 03:28:23.485827923
60279.144727845225,1.0,0.0,0.0,2023-12-01 03:28:24.485827446
60279.144739419295,1.0,1.0,0.0,2023-12-01 03:28:25.485826969
60279.14475099337,1.125,0.0,0.0006188118811881185,2023-12-01 03:28:26.485827208
60279.14476256745,1.25,0.0,0.0012376237623762379,2023-12-01 03:28:27.485827446
60279.14477414152,1.375,0.0,0.0018564356435643563,2023-12-01 03:28:28.485827208
60279.144785715594,1.5,0.0,0.002475247524752475,2023-12-01 03:28:29.485827446
60279.14479728967,1.625,0.0,0.003094059405940594,2023-12-01 03:28:30.485827684
60279.14480886374,1.75,0.0,0.0037128712871287136,2023-12-01 03:28:31.485827208
60279.14482043782,1.875,0.0,0.004331683168316831,2023-12-01 03:28:32.485827446
60279.144832011894,2.0,1.4142135623730951,0.0049504950495049506,2023-12-01 03:28:33.485827684
60279.144843585964,2.0,0.0,0.0049504950495049506,2023-12-01 03:28:34.485827208
60279.14485516003,2.0,0.0,0.0049504950495049506,2023-12-01 03:28:35.485826969
60279.14486673412,2.0,0.0,0.0049504950495049506,2023-12-01 03:28:36.485827684
60279.14487830819,2.0,0.0,0.0049504950495049506,2023-12-01 03:28:37.485827446
60279.14488988226,2.0,0.0,0.0049504950495049506,2023-12-01 03:28:38.485826969
60279.14490145634,2.0,0.0,0.0049504950495049506,2023-12-01 03:28:39.485827923
60279.14491303041,2.0,0.0,0.0049504950495049506,2023-12-01 03:28:40.485827446
60279.14492460448,2.0,1.4142135623730951,0.0049504950495049506,2023-12-01 03:28:41.485826969
60279.14493617856,2.125,0.0,0.00556930693069307,2023-12-01 03:28:42.485827923
60279.14494775263,2.25,0.0,0.0061881188118811875,2023-12-01 03:28:43.485827446
60279.1449593267,2.375,0.0,0.006806930693069307,2023-12-01 03:28:44.485827208
60279.14497090078,2.5,0.0,0.007425742574257426,2023-12-01 03:28:45.485827446
